Algorithm,Route,Distance (km),Execution Time (s),Length Difference (km),Resemble Rate (%),Try (№)
Simulated Annealing,"10089218389, 9076611346, 11304463296, 11304463484, 10844090969, 11169615677, 9076609456, 11210682502, 9076609779, 10543058030, 11083519597, 11368243068, 10690476821, 10844090997, 11409872026",218929,0.012,0.0,1.0,0
Simulated Annealing,"10089218389, 10844090969, 10543058030, 11304463484, 11169615677, 9076611346, 11210682502, 11083519597, 10844090997, 11304463296, 11409872026, 10690476821, 9076609779, 11368243068, 9076609456",227023,0.011,-8.1,0.2666666666666667,1
Simulated Annealing,"11210682502, 9076609456, 10543058030, 11368243068, 11083519597, 11304463296, 11304463484, 10844090969, 9076609779, 10089218389, 10844090997, 9076611346, 11409872026, 10690476821, 11169615677",220022,0.011,-1.1,0.8666666666666667,2
Simulated Annealing,"9076611346, 11304463484, 11368243068, 10844090997, 10690476821, 10543058030, 9076609779, 11169615677, 10089218389, 11409872026, 11304463296, 9076609456, 11083519597, 11210682502, 10844090969",241469,0.011,-22.5,0.8666666666666667,3
Simulated Annealing,"11083519597, 11409872026, 9076609779, 11169615677, 10089218389, 10543058030, 11304463484, 9076609456, 10844090997, 10690476821, 11304463296, 11368243068, 10844090969, 11210682502, 9076611346",213049,0.012,5.9,0.9333333333333333,4
Simulated Annealing,"10690476821, 9076609456, 11304463484, 11169615677, 11304463296, 11409872026, 10844090997, 11368243068, 10543058030, 11210682502, 11083519597, 10089218389, 9076609779, 10844090969, 9076611346",243106,0.012,-24.2,0.1333333333333333,5
Simulated Annealing,"10690476821, 11210682502, 11083519597, 9076609779, 10844090969, 11409872026, 11304463484, 11368243068, 10089218389, 9076611346, 11169615677, 10844090997, 9076609456, 11304463296, 10543058030",203646,0.011,15.3,0.9333333333333333,6
Simulated Annealing,"9076609456, 11083519597, 11304463484, 11368243068, 11210682502, 10543058030, 9076611346, 11409872026, 9076609779, 10844090997, 11304463296, 10089218389, 10690476821, 11169615677, 10844090969",257920,0.012,-39.0,0.8666666666666667,7
Simulated Annealing,"9076609779, 11169615677, 11304463296, 10844090969, 11368243068, 11210682502, 11409872026, 10543058030, 9076609456, 11083519597, 9076611346, 10844090997, 10690476821, 10089218389, 11304463484",216301,0.012,2.6,0.2666666666666667,8
Simulated Annealing,"9076609779, 11169615677, 11083519597, 10690476821, 10844090997, 11210682502, 10089218389, 9076609456, 9076611346, 10543058030, 11304463296, 11304463484, 11368243068, 10844090969, 11409872026",198054,0.011,20.9,0.8666666666666667,9
Genetic Algorithm,"11409872026, 11304463296, 9076609779, 9076611346, 9076609456, 10690476821, 11210682502, 11304463484, 10844090969, 10543058030, 11169615677, 11368243068, 10844090997, 10089218389, 11083519597",185868,0.041,33.1,0.19999999999999996,0
Genetic Algorithm,"11409872026, 11304463296, 10844090997, 10690476821, 9076609456, 9076609779, 11169615677, 11368243068, 9076611346, 10089218389, 11083519597, 11210682502, 11304463484, 10844090969, 10543058030",162377,0.042,56.6,0.8,1
Genetic Algorithm,"11409872026, 10844090969, 11304463484, 9076611346, 11169615677, 11368243068, 10844090997, 10690476821, 9076609456, 11210682502, 11083519597, 10089218389, 9076609779, 11304463296, 10543058030",163351,0.041,55.6,0.8666666666666667,2
Genetic Algorithm,"11409872026, 10543058030, 11304463484, 10844090969, 11304463296, 9076609779, 9076611346, 11368243068, 11169615677, 11210682502, 10089218389, 11083519597, 10844090997, 10690476821, 9076609456",165762,0.042,53.2,0.8666666666666667,3
Genetic Algorithm,"11409872026, 10089218389, 11083519597, 11210682502, 9076609456, 10690476821, 10844090997, 9076611346, 11368243068, 11169615677, 9076609779, 11304463296, 10844090969, 11304463484, 10543058030",152127,0.042,66.8,0.8666666666666667,4
Genetic Algorithm,"11409872026, 11210682502, 10089218389, 11083519597, 11169615677, 11368243068, 9076611346, 9076609779, 10844090997, 9076609456, 10690476821, 11304463296, 10844090969, 11304463484, 10543058030",158150,0.042,60.8,0.8,5
Genetic Algorithm,"11409872026, 11304463296, 11368243068, 9076611346, 11169615677, 9076609779, 10844090997, 10690476821, 9076609456, 11083519597, 10089218389, 11210682502, 10844090969, 11304463484, 10543058030",157342,0.042,61.6,0.8,6
Genetic Algorithm,"11409872026, 11304463296, 10089218389, 11083519597, 9076609456, 10690476821, 10844090997, 9076611346, 9076609779, 11169615677, 11368243068, 11210682502, 10543058030, 10844090969, 11304463484",144568,0.043,74.4,0.8666666666666667,7
Genetic Algorithm,"11409872026, 10089218389, 11083519597, 11210682502, 9076609779, 10844090997, 9076611346, 11368243068, 11169615677, 9076609456, 10690476821, 11304463296, 10543058030, 11304463484, 10844090969",154220,0.041,64.7,0.8,8
Genetic Algorithm,"11409872026, 11304463484, 11304463296, 9076609779, 9076611346, 11368243068, 11169615677, 9076609456, 10844090997, 10690476821, 11210682502, 11083519597, 10089218389, 10844090969, 10543058030",174430,0.041,44.5,0.19999999999999996,9
Genetic Algorithm Adaptive Crossover,"11409872026, 10844090969, 11304463484, 10543058030, 10089218389, 11083519597, 11210682502, 10844090997, 9076609456, 10690476821, 9076611346, 11169615677, 11368243068, 9076609779, 11304463296",150841,0.104,68.1,0.8666666666666667,0
Genetic Algorithm Adaptive Crossover,"9076609779, 11169615677, 11368243068, 9076611346, 10844090997, 10690476821, 9076609456, 11409872026, 11304463484, 10844090969, 10543058030, 11304463296, 11210682502, 11083519597, 10089218389",147508,0.109,71.4,0.8,1
Genetic Algorithm Adaptive Crossover,"10543058030, 10844090969, 11304463484, 11409872026, 10089218389, 11083519597, 11304463296, 10844090997, 10690476821, 9076609456, 9076609779, 11169615677, 11368243068, 9076611346, 11210682502",161358,0.102,57.6,0.8666666666666667,2
Genetic Algorithm Adaptive Crossover,"10089218389, 11083519597, 10690476821, 9076609456, 10844090997, 9076611346, 11368243068, 11169615677, 9076609779, 11210682502, 11409872026, 10844090969, 11304463484, 10543058030, 11304463296",139573,0.108,79.4,0.8,3
Genetic Algorithm Adaptive Crossover,"11210682502, 10089218389, 11083519597, 9076609779, 11368243068, 11169615677, 9076611346, 10690476821, 10844090997, 9076609456, 11409872026, 10844090969, 11304463484, 11304463296, 10543058030",147588,0.106,71.3,0.7333333333333333,4
Genetic Algorithm Adaptive Crossover,"10690476821, 9076609456, 10844090997, 9076611346, 11169615677, 11368243068, 9076609779, 10089218389, 11083519597, 11210682502, 11304463296, 11409872026, 10844090969, 11304463484, 10543058030",153700,0.11,65.2,0.8,5
Genetic Algorithm Adaptive Crossover,"11169615677, 11368243068, 9076611346, 11210682502, 11304463296, 10089218389, 11083519597, 10844090969, 11409872026, 10543058030, 11304463484, 9076609456, 10690476821, 10844090997, 9076609779",179506,0.114,39.4,0.19999999999999996,6
Genetic Algorithm Adaptive Crossover,"10844090969, 11409872026, 11304463484, 10543058030, 11169615677, 11368243068, 9076611346, 9076609779, 10844090997, 10690476821, 9076609456, 11304463296, 11083519597, 10089218389, 11210682502",172627,0.135,46.3,0.8666666666666667,7
Genetic Algorithm Adaptive Crossover,"10089218389, 11210682502, 9076609456, 10690476821, 10844090997, 9076611346, 11368243068, 11169615677, 9076609779, 11304463296, 11409872026, 10844090969, 11304463484, 10543058030, 11083519597",151445,0.131,67.5,0.8666666666666667,8
Genetic Algorithm Adaptive Crossover,"9076611346, 9076609779, 10844090997, 10690476821, 9076609456, 11083519597, 11304463484, 10844090969, 10543058030, 11409872026, 11304463296, 10089218389, 11210682502, 11169615677, 11368243068",162092,0.106,56.8,0.8666666666666667,9
Irgibnnm Genetic Algorithm,"10543058030, 11409872026, 10844090969, 11304463484, 11304463296, 11083519597, 10089218389, 9076609779, 11169615677, 11368243068, 9076611346, 9076609456, 10690476821, 10844090997, 11210682502",152339,0.051,66.6,0.19999999999999996,0
Irgibnnm Genetic Algorithm,"10543058030, 10844090969, 11304463484, 11409872026, 11304463296, 10690476821, 10844090997, 9076609456, 11169615677, 11368243068, 9076611346, 9076609779, 10089218389, 11083519597, 11210682502",161320,0.051,57.6,0.9333333333333333,1
Irgibnnm Genetic Algorithm,"11169615677, 11368243068, 9076611346, 9076609779, 9076609456, 10690476821, 10844090997, 11083519597, 10089218389, 11304463296, 11210682502, 11409872026, 10844090969, 11304463484, 10543058030",160999,0.051,57.9,0.8666666666666667,2
Irgibnnm Genetic Algorithm,"10543058030, 10844090969, 11304463484, 11409872026, 10844090997, 10690476821, 9076609456, 11169615677, 11368243068, 9076609779, 9076611346, 11210682502, 11083519597, 10089218389, 11304463296",152326,0.051,66.6,0.8666666666666667,3
Irgibnnm Genetic Algorithm,"10543058030, 11304463484, 10844090969, 11409872026, 11210682502, 10089218389, 11083519597, 11304463296, 11368243068, 9076609779, 9076611346, 9076609456, 10844090997, 10690476821, 11169615677",153935,0.051,65.0,0.1333333333333333,4
Irgibnnm Genetic Algorithm,"10543058030, 11304463484, 10844090969, 11409872026, 11210682502, 10089218389, 11304463296, 11083519597, 9076611346, 9076609779, 11169615677, 11368243068, 10844090997, 10690476821, 9076609456",166015,0.051,52.9,0.1333333333333333,5
Irgibnnm Genetic Algorithm,"11169615677, 11368243068, 9076611346, 9076609456, 10690476821, 10844090997, 9076609779, 11083519597, 10089218389, 11304463296, 10543058030, 10844090969, 11304463484, 11409872026, 11210682502",140321,0.051,78.6,0.8666666666666667,6
Irgibnnm Genetic Algorithm,"11409872026, 11304463484, 11083519597, 10089218389, 11210682502, 10844090997, 11169615677, 11368243068, 9076611346, 9076609779, 10690476821, 9076609456, 11304463296, 10844090969, 10543058030",183746,0.051,35.2,0.8666666666666667,7
Irgibnnm Genetic Algorithm,"11169615677, 11368243068, 9076611346, 9076609779, 10844090997, 10690476821, 9076609456, 10089218389, 11210682502, 11304463484, 10543058030, 11409872026, 10844090969, 11083519597, 11304463296",182091,0.051,36.8,0.1333333333333333,8
Irgibnnm Genetic Algorithm,"11409872026, 11304463484, 11304463296, 9076611346, 10690476821, 9076609456, 10844090997, 10089218389, 9076609779, 11368243068, 11169615677, 11083519597, 11210682502, 10543058030, 10844090969",178338,0.057,40.6,0.8666666666666667,9
