id,lat,long,type,adress,total_volume,free_volume,purpose
9076612865,59.993385,29.7597045,outpost,"40, Посадская улица, Кронштадт, Санкт-Петербург, Северо-Западный федеральный округ, 197760, Россия",514,236,Ozon
10011742882,59.9936994,30.1468964,parcel_locker,"ТК Гарден Сити, 85 литВ, Лахтинский проспект, Ольгино, округ Лахта-Ольгино, Санкт-Петербург, Северо-Западный федеральный округ, 197229, Россия",23,12,Яндекс.Маркет
10844090816,60.006394,30.199058,outpost,"66 к1, Богатырский проспект, Северо-Приморская часть, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197008, Россия",257,169,Ozon
10045188273,60.016832,30.2460372,outpost,"ТРК «Пять озёр», 14 к2, Долгоозёрная улица, округ Юнтолово, Санкт-Петербург, Северо-Западный федеральный округ, 197373, Россия",366,216,Онлайн Трейд
11169615768,60.0054284,30.2904385,outpost,"13, проспект Испытателей, Комендантский аэродром, округ Комендантский аэродром, Санкт-Петербург, Северо-Западный федеральный округ, 197341, Россия",552,343,Ozon
11169616122,59.9999061,30.2979863,outpost,"Ozon, 20, Коломяжский проспект, Комендантский аэродром, округ Комендантский аэродром, Санкт-Петербург, Северо-Западный федеральный округ, 197348, Россия",413,211,Ozon
11304463593,60.0007244,30.36067,outpost,"20, проспект Тореза, Сосновка, округ Светлановское, Санкт-Петербург, Северо-Западный федеральный округ, 194021, Россия",274,189,Ozon
11368243053,60.0773986,30.337691,parcel_locker,"11 к1, улица Николая Рубцова, Торфяное, Парголово, Санкт-Петербург, Северо-Западный федеральный округ, 194358, Россия",23,13,СДЭК
9076609473,60.032848,30.418753,outpost,"117 к1, Гражданский проспект, округ № 21, Санкт-Петербург, Северо-Западный федеральный округ, 195299, Россия",319,207,Ozon
11304463413,60.0340328,30.4201496,outpost,"ТК «Рубикон», 119, Гражданский проспект, округ № 21, Санкт-Петербург, Северо-Западный федеральный округ, 195267, Россия",351,166,Ozon
9076609118,59.921909,30.463951,outpost,"12, Клочков переулок, округ Правобережный, Санкт-Петербург, Северо-Западный федеральный округ, 193318, Россия",397,305,Ozon
9076611364,59.9118594,30.4990581,outpost,"42 к3, улица Дыбенко, округ Оккервиль, Санкт-Петербург, Северо-Западный федеральный округ, 193312, Россия",358,225,Ozon
9076609700,59.883099,30.469374,outpost,"Ozon, 60, Дальневосточный проспект, Сосновка, Народный округ, Санкт-Петербург, Северо-Западный федеральный округ, 193315, Россия",276,158,Ozon
11304454329,59.9273763,30.369568,outpost,"Ozon, 5/29 литБ, Полтавская улица, округ Лиговка-Ямская, Санкт-Петербург, Северо-Западный федеральный округ, 191036, Россия",424,380,Ozon
8917663690,59.9635242,30.280652,outpost,"2, Глухая Зеленина улица, Петроградская сторона, округ Чкаловское, Санкт-Петербург, Северо-Западный федеральный округ, 197110, Россия",240,146,Ozon
4274088189,59.9407706,30.2911573,outpost,"Ozon, 18/2, 1-я линия В.О., округ № 7, Санкт-Петербург, Северо-Западный федеральный округ, 199034, Россия",260,187,Ozon
11304454314,59.9117296,30.3108834,outpost,"19, 7-я Красноармейская улица, округ Измайловское, Санкт-Петербург, Северо-Западный федеральный округ, 190005, Россия",384,216,Ozon
5597523695,59.9127169,30.3081981,outpost,"ТК Термин, 12, Измайловский проспект, округ Измайловское, Санкт-Петербург, Северо-Западный федеральный округ, 190005, Россия",540,385,
4602327638,59.902396,30.2755094,outpost,"41, Старо-Петергофский проспект, Екатерингофский округ, Санкт-Петербург, Северо-Западный федеральный округ, 190020, Россия",240,143,Яндекс.Маркет
11169615690,59.8578793,30.3061777,outpost,"Ozon, 34 к1, Новоизмайловский проспект, округ Новоизмайловское, Санкт-Петербург, Северо-Западный федеральный округ, 196191, Россия",280,180,Ozon
9076609782,59.8410649,30.3090826,outpost,"Ozon, 1, 5-й Предпортовый проезд, Предпортовая, округ Новоизмайловское, Санкт-Петербург, Северо-Западный федеральный округ, 196240, Россия",273,144,Ozon
11169615746,59.8438905,30.3298724,outpost,"Ozon, 39, улица Ленсовета, Средняя Рогатка, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 196153, Россия",429,319,Ozon
10844090760,59.842021,30.349226,outpost,"2 к1, Пулковская улица, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 198142, Россия",192,114,Ozon
10961231400,59.8598528,30.376114,outpost,"Ozon, 29 к1, Будапештская улица, округ Купчино, Санкт-Петербург, Северо-Западный федеральный округ, 192242, Россия",376,298,Ozon
10844090763,59.8731789,30.3834629,outpost,"16 к4 литА, улица Белы Куна, округ Волковское, Санкт-Петербург, Северо-Западный федеральный округ, 192242, Россия",372,153,Ozon
11169615723,59.8340178,30.4006773,outpost,"Ozon, 87 к3, Будапештская улица, Балканский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192283, Россия",550,394,Ozon
11110309010,59.6822985,30.4641061,outpost,"Ozon, улица Девятого Января, Зверинец, Павловск, Санкт-Петербург, Северо-Западный федеральный округ, 196621, Россия",433,338,Ozon
10045188268,59.8530706,30.193525,outpost,"21 литА, улица Маршала Захарова, Южно-Приморский округ, Санкт-Петербург, Северо-Западный федеральный округ, 198332, Россия",453,297,Онлайн Трейд
11169615920,59.856166,30.1852637,outpost,"21, проспект Кузнецова, Южно-Приморский округ, Санкт-Петербург, Северо-Западный федеральный округ, 198328, Россия",310,137,Ozon
11169615815,59.8553309,29.950887,outpost,"Ozon, 4, Ропшинское шоссе, Красные Зори, Петергоф, Санкт-Петербург, Северо-Западный федеральный округ, 198517, Россия",222,130,Ozon
